"I loved the white ceramic body of the HTC One X and Nokia could learn a thing or two about making Windows phones by taking a closer look at the HTC Windows Phone 8X","love"
"The company’s latest offering, the HTC One, is a paragon of industrial design: Its chiseled chamfers, rounded edges, and chrome accents are sure to turn more than a few heads when you whip out the phone in public","n/c "
"But the One is more than just a pretty face: HTC packed a lot of power under the phone’s hood, and the handset’s camera benefits from numerous software and hardware tweaks that should excite fans of mobile photography","enthusiasm; "
"This is the burning question of the moment: Should you buy the Samsung Galaxy S4","n/c "
"After spending a few days with the phone and running it through TechHive's suite of tests, I can confirm that the Galaxy S4 is an impressive Android phone","n/c "
"Samsung's latest offering tops its previous efforts in many respects, and Android fans are rightly excited by the Galaxy S4's imminent release (slated for the end of the month)","enthusiasm;esteem; "
"That's not to say that the phone is perfect: For all of its innovations and cutting-edge specs, the Galaxy S4 has shortcomings that prevent it from being the ideal smartphone","modern"
"The HTC One M8's gorgeous design, excellent battery life and powerful performance make it the best Android phone yet","power"
"A head-turning flexible design and vibrant display make the G Flex an exciting Android device, but it's not our favorite phablet","enthusiasm"
"Sony's Xperia Z1s is a powerful waterproof smartphone with long battery life, but its display and camera could be better","power"
"With its smooth performance, attractive design and low, $199 price, the Moto G is one of the better unlocked-phone deals","n/c "
"LG's flexible, self-healing G Flex is an innovative and fast handset that feels like the future of smartphones","modern"
"Nevertheless, it's still a powerful device and one that's available at a very good price: $100 with a two-year service contract","power"
"The new iPhone 5s is a delight","pleasure"
"Its hardware and software make it the best smartphone on the market","n/c "
"iPhone 5c may have a cheap price, relatively speaking, but there is nothing cheap about the phone","n/c "
"Plastic be damned - the phone feels good in the hand","happiness"
"With the 5c, Apple achieves an unprecedented level of synergy between hardware and software","triumph"
"With the iPhone 5s, Apple once again wins the right to claim the title of best smartphone available","triumph"
"the i-phone 5s is probably the most futureproof of any iPhone ever launched","modern"
"As much as it pains me to use the word futureproof, if you are one of those people who likes to hold onto their device for a while - the 5s is as good a starting point as any","liking;anxiousness"
"Great phone, super fast","n/c "
"Overall, I'm quite happy with my purchase","happiness"
"I am sure I will find fault eventually, but for now I am well pleased with my year old model","satisfaction"
"When the Iphone 6 comes out I may consider an upgrade but until then I will continue to use this","n/c "
"(trust me- I thought I would NEVER get an Iphone, Now I am happy I did)","happiness;confidence"
"Iphone 5 is so versatile","n/c "
"I upgraded from an iphone 4 and I am so glad that I did","happiness; "
"I'm sending this one back and getting a 4S on Monday","n/c "
"Sadly,all I can get is a 16gb model","sadness"
"I'm not even interested in trying the 5C or 5S models","annoyance"
"Apple and Verizon have clearly lost their edge","n/c "
"Some folks have given the LG G Flex a hard time for being downright odd: it's a curved 6"" Android smartphone with some flexibility to avoid breaking","n/c "
"The curve actually feels good in the hand, cuts down on glare and makes this otherwise huge phone a bit more manageable","happiness"
"We need more phones like the Moto G, lots more","n/c "
"The Moto G is a well made, yet it's an extremely affordable unlocked GSM smartphone from a trusted manufacturer that sells for just $179 retail","confidence"
"The HTC One max is largely what we expected a bigger version of the successful HTC One","triumph"
"The new Nexus 5, based very loosely on the lovely LG G2 and made by LG, is a bargain of a phone though it's not perfect","n/c "
"The Nexus 5 has a 5 inch full HD IPS display, the latest generation Snapdragon 800 quad core CPU with Adreno 330 graphics, 2 gigs of RAM, LTE 4G on a host of bands, a front 1,3MP camera and a rear 8MP camera with LED flash","n/c "
"It's sold directly by Google and it's unlocked for use with any carrier","n/c "
"No contract required","n/c "
"The third generation Note has a 5,7 full HD Super AMOLED display, a very fast 2,3GHz quad core Snapdragon 800 CPU with 3 gigs of RAM, our beloved S Pen with note taking and art apps, a capable 13MP rear camera and the usual LTE 4G, GPS, NFC, Bluetooth and WiFi 802,11ac","love"
"This is LG's best Android smartphone to date","n/c "
"From the glorious 5,2 full HD IPS display to the capable 13 megapixel camera to the new super-fast Qualcomm Snapdragon 800 quad core 2,26GHz CPU, the phone is a winner","triumph"
"Despite the larger display, the G2 is no bigger than the smaller-screen Galaxy S4 and HTC One, thanks to the edge-to-edge display","n/c "
