"La posizione dell'hotel è centralissima, le camere sono pulite e silenziose, la colazione buona ed il personale molto disponibile e gentile","polite"
"il bagno era ampio, seppure senza finestra, e con le dotazioni di cortesia","n/c "
"Il personale professionale e cortese","polite"
"hotel sovraffollato e la colazione di scarsa qualità","n/c "
"Il personale è cortese così come ottimo il servizio e la qualità del ristorante","polite"
"Camera piuttosto spaziosa, pulita, comoda e molto silenziosa","n/c "
"Insomma mi sono trovato bene e sicuramente tornerò in questo hotel quando sarò per lavoro nella bellissima Trento","n/c "
"Abbiamo soggiornato una notte e lo consiglio a chi non ha molte pretese","n/c "
"Camera essenziale, non nuovissima, con un po' di odore di chiuso ma silenziosa","n/c "
"Prezzo abbordabile","n/c "
"Il ristorante annesso all'hotel nel complesso e' buono","n/c "
"Garage piccolino per chi non ha voglia di fare troppe manovre consiglio il parcheggio a pagamento all'esterno","n/c "
"Personale molto gentile","polite"
"La colazione a buffet era ottima, anche la cena era molto buona","n/c "
"Camera essenziale, ma molto pulita, con tv e tutto il necessario","n/c "
"Personale gentile e accogliente","polite"
"Posizione un po' fuori dal centro ma raggiungibile comodamente con autobus e anche a piedi di giorno","n/c "
"Personale professionale, alcuni veramente molto disponibili e cortesi","polite"
"Camera di buone proporzioni, verso il cortile interno, molto tranquilla","n/c "
"Ottima colazione, abbondante e con molta scelta sia nella parte dolce che nella parte salata","n/c "
"Da ritornarci sicuramente","n/c "
"Staff disponibile e cortese","polite"
"Si tratta di un hotel con annesso ristorante - pizzeria veramente molto buono, la struttura è gradevole e moderna, il personale molto garbato e paziente, soprattutto con i bambini: decisamente consigliato","calm;modern; "
"Posto un po' tristarello, camere vecchiotte e spoglie, bagno minuscolo","n/c "
"La cucina è passabile ma niente di chè","n/c "
"La posizione è buona perchè è vicino al centro, al lungo mare e alla spiaggia","n/c "
"Rimane sulla strada quindi fatevi dare camere sull'interno","n/c "
"La piscina è bella infatti salvo solo quella","n/c "
"Il personale è gentile","polite"
"camere piccole, cibo mediocre,miniclub patetico, piscina minuscola e sporca ma soprattutto piena di bambini chiassosi","n/c "
"Ma la cosa peggiore e' la location sul bordo della strada trafficata con autobus e pullman a tutte le ore","n/c "
"Abbiamo passato delle serene vacanze, il personale disponibile e cortese , soggiorno nel complesso positivo","polite"
